epoch,loss,ppl,accuracy
0,  4.85106, 127.87556, 23.025
1,  4.08948, 59.70861, 31.565
2,  3.63391, 37.86070, 35.965
3,  3.31236, 27.44973, 38.712
4,  3.02525, 20.59916, 41.281
5,  2.81409, 16.67801, 43.556
6,  2.58385, 13.24799, 46.876
7,  2.41425, 11.18137, 49.407
8,  2.25399, 9.52563, 52.044
9,  2.13401, 8.44871, 54.483
10,  1.98898, 7.30805, 57.313
11,  1.89457, 6.64971, 59.174
12,  1.80753, 6.09539, 61.173
13,  1.72791, 5.62888, 62.991
14,  1.57415, 4.82666, 66.287
15,  1.48810, 4.42865, 68.409
16,  1.39319, 4.02768, 70.419
17,  1.30895, 3.70230, 72.406
18,  1.22729, 3.41198, 74.467
19,  1.15602, 3.17726, 76.177
20,  1.08021, 2.94531, 78.133
21,  1.01916, 2.77087, 79.534
22,  0.96933, 2.63618, 80.954
23,  0.91819, 2.50475, 82.208
24,  0.84342, 2.32431, 83.805
25,  0.41632, 1.51637, 90.467
26,  0.35110, 1.42063, 93.147
27,  0.31449, 1.36956, 94.372
28,  0.33025, 1.39132, 94.350
29,  0.39211, 1.48010, 93.359
30,  0.41246, 1.51053, 93.138
31,  0.45095, 1.56980, 92.434
32,  0.48744, 1.62815, 91.981
33,  0.51809, 1.67882, 91.405
34,  0.54374, 1.72244, 90.926
35,  0.54801, 1.72981, 91.079
36,  0.57509, 1.77730, 90.711
37,  0.58855, 1.80138, 90.553
38,  0.54984, 1.73297, 91.296
39,  0.55781, 1.74685, 91.137
40,  0.52007, 1.68215, 91.870
41,  0.49651, 1.64297, 92.365
42,  0.45409, 1.57474, 93.089
43,  0.46995, 1.59991, 92.928
44,  0.46048, 1.58483, 92.985
45,  0.42425, 1.52844, 93.675
46,  0.45056, 1.56919, 93.171
47,  0.45160, 1.57083, 93.189
48,  0.41756, 1.51825, 93.731
49,  0.43053, 1.53808, 93.554
50,  0.11038, 1.11670, 97.807
51,  0.09140, 1.09571, 98.652
52,  0.11069, 1.11705, 98.458
53,  0.14268, 1.15337, 98.056
54,  0.17697, 1.19360, 97.572
55,  0.21113, 1.23507, 97.122
56,  0.23923, 1.27027, 96.748
57,  0.25539, 1.29096, 96.521
58,  0.27633, 1.31828, 96.360
59,  0.28124, 1.32477, 96.183
60,  0.33496, 1.39788, 95.423
61,  0.33637, 1.39986, 95.425
62,  0.33646, 1.39998, 95.482
63,  0.36664, 1.44288, 95.015
64,  0.33261, 1.39460, 95.552
65,  0.32587, 1.38524, 95.601
66,  0.32215, 1.38009, 95.729
67,  0.31989, 1.37698, 95.714
68,  0.29211, 1.33925, 96.172
69,  0.31552, 1.37097, 95.763
70,  0.30670, 1.35894, 95.899
71,  0.28223, 1.32608, 96.230
72,  0.29689, 1.34567, 96.006
73,  0.29416, 1.34200, 96.123
74,  0.28862, 1.33459, 96.123
75,  0.06303, 1.06506, 98.736
76,  0.04791, 1.04908, 99.424
77,  0.06341, 1.06547, 99.261
78,  0.09059, 1.09482, 98.919
79,  0.10967, 1.11591, 98.697
80,  0.12448, 1.13256, 98.492
81,  0.13871, 1.14880, 98.372
82,  0.16422, 1.17848, 98.022
83,  0.18427, 1.20234, 97.759
84,  0.18267, 1.20042, 97.866
85,  0.19591, 1.21641, 97.688
86,  0.21860, 1.24434, 97.322
87,  0.23929, 1.27035, 97.059
88,  0.23166, 1.26069, 97.197
89,  0.22093, 1.24723, 97.375
90,  0.23563, 1.26570, 97.114
91,  0.22875, 1.25703, 97.136
92,  0.22733, 1.25524, 97.203
93,  0.21882, 1.24461, 97.291
94,  0.21740, 1.24285, 97.375
95,  0.23413, 1.26381, 97.054
96,  0.23514, 1.26509, 97.085
97,  0.21145, 1.23547, 97.451
98,  0.20148, 1.22321, 97.611
99,  0.21042, 1.23420, 97.440
