epoch,loss,ppl,accuracy
0,  4.95834, 142.35784, 20.595
1,  4.16336, 64.28693, 31.751
2,  3.74066, 42.12558, 36.083
3,  3.45064, 31.52070, 38.939
4,  3.24390, 25.63357, 40.751
5,  3.02725, 20.64048, 43.463
6,  2.85909, 17.44571, 45.349
7,  2.74276, 15.52978, 46.748
8,  2.60271, 13.50024, 48.883
9,  2.47262, 11.85344, 51.029
10,  2.42452, 11.29677, 51.754
11,  2.30474, 10.02157, 54.159
12,  2.19889, 9.01504, 56.355
13,  2.15194, 8.60150, 57.374
14,  2.11175, 8.26268, 58.336
15,  2.04345, 7.71720, 59.868
16,  1.98993, 7.31501, 61.208
17,  1.96488, 7.13403, 61.769
18,  1.91586, 6.79278, 63.152
19,  1.87490, 6.52019, 64.159
20,  1.87978, 6.55208, 64.140
21,  1.82216, 6.18522, 65.620
22,  1.83474, 6.26349, 65.536
23,  1.78599, 5.96549, 66.454
24,  1.78444, 5.95626, 66.906
25,  1.76608, 5.84790, 67.273
26,  1.72484, 5.61160, 68.195
27,  1.66925, 5.30818, 69.340
28,  1.64440, 5.17790, 69.795
29,  1.62672, 5.08714, 70.336
30,  1.58472, 4.87793, 71.316
31,  1.54843, 4.70410, 71.887
32,  1.52229, 4.58272, 72.599
33,  1.48883, 4.43189, 73.376
34,  1.46215, 4.31522, 73.761
35,  1.41662, 4.12314, 74.805
36,  1.41856, 4.13118, 74.873
37,  1.38325, 3.98786, 75.530
38,  1.37066, 3.93795, 75.957
39,  1.33522, 3.80085, 76.882
40,  1.31435, 3.72234, 77.352
41,  1.31289, 3.71691, 77.313
42,  1.27956, 3.59506, 78.167
43,  1.24233, 3.46368, 78.791
44,  1.24516, 3.47350, 78.855
45,  1.22745, 3.41252, 79.174
46,  1.24483, 3.47235, 78.927
47,  1.17249, 3.23004, 80.407
48,  1.19081, 3.28974, 80.119
49,  1.14941, 3.15632, 81.058
50,  0.38216, 1.46545, 91.480
51,  0.27449, 1.31587, 95.200
52,  0.26745, 1.30662, 95.840
53,  0.28301, 1.32712, 95.899
54,  0.31260, 1.36697, 95.587
55,  0.36273, 1.43725, 94.789
56,  0.41747, 1.51811, 93.940
57,  0.50690, 1.66014, 92.364
58,  0.55585, 1.74343, 91.498
59,  0.59056, 1.80501, 90.956
60,  0.63274, 1.88276, 90.334
61,  0.65957, 1.93395, 90.127
62,  0.63186, 1.88110, 90.897
63,  0.68469, 1.98316, 90.098
64,  0.65575, 1.92658, 90.776
65,  0.67861, 1.97113, 90.494
66,  0.72209, 2.05873, 89.807
67,  0.74421, 2.10478, 89.505
68,  0.79384, 2.21188, 88.763
69,  0.78636, 2.19539, 88.894
70,  0.81450, 2.25805, 88.619
71,  0.81308, 2.25485, 88.792
72,  0.82644, 2.28518, 88.516
73,  0.86064, 2.36467, 88.034
74,  0.83584, 2.30675, 88.461
75,  0.88818, 2.43070, 87.633
76,  0.91020, 2.48483, 87.161
77,  0.83937, 2.31492, 88.522
78,  0.88162, 2.41480, 87.762
79,  0.84966, 2.33886, 88.110
80,  0.85120, 2.34245, 88.396
81,  0.82876, 2.29047, 88.730
82,  0.79438, 2.21306, 89.286
83,  0.79955, 2.22453, 89.179
84,  0.80723, 2.24169, 89.092
85,  0.81257, 2.25370, 88.920
86,  0.79767, 2.22035, 89.184
87,  0.80582, 2.23853, 89.201
88,  0.78644, 2.19556, 89.483
89,  0.79447, 2.21327, 89.313
90,  0.75267, 2.12266, 90.088
91,  0.73281, 2.08092, 90.321
92,  0.78442, 2.19113, 89.553
93,  0.75075, 2.11858, 90.104
94,  0.78359, 2.18931, 89.521
95,  0.74273, 2.10167, 90.192
96,  0.73598, 2.08753, 90.327
97,  0.77592, 2.17258, 89.732
98,  0.72591, 2.06661, 90.500
99,  0.72084, 2.05616, 90.548
100,  0.13142, 1.14045, 97.602
101,  0.08427, 1.08793, 99.131
102,  0.09883, 1.10388, 99.145
103,  0.13016, 1.13901, 98.751
104,  0.15432, 1.16687, 98.509
105,  0.19004, 1.20929, 98.052
106,  0.22211, 1.24871, 97.674
107,  0.25348, 1.28850, 97.280
108,  0.29811, 1.34730, 96.652
109,  0.33942, 1.40413, 96.045
110,  0.34591, 1.41327, 96.112
111,  0.37099, 1.44917, 95.757
112,  0.39106, 1.47855, 95.652
113,  0.41186, 1.50962, 95.319
114,  0.42207, 1.52511, 95.267
115,  0.46101, 1.58568, 94.736
116,  0.46223, 1.58760, 94.873
117,  0.46725, 1.59560, 94.771
118,  0.50431, 1.65585, 94.257
119,  0.54850, 1.73066, 93.612
120,  0.53582, 1.70884, 93.860
121,  0.55600, 1.74369, 93.569
122,  0.58981, 1.80365, 93.124
123,  0.60180, 1.82540, 92.995
124,  0.62488, 1.86802, 92.723
125,  0.63898, 1.89454, 92.467
126,  0.62223, 1.86307, 92.655
127,  0.63655, 1.88995, 92.557
128,  0.60838, 1.83746, 92.888
129,  0.60592, 1.83294, 93.011
130,  0.62124, 1.86123, 92.749
131,  0.61896, 1.85700, 92.687
132,  0.60059, 1.82320, 92.988
133,  0.60148, 1.82482, 93.052
134,  0.61996, 1.85886, 92.668
135,  0.60547, 1.83211, 92.874
136,  0.59505, 1.81312, 93.217
137,  0.59560, 1.81412, 93.058
138,  0.61161, 1.84340, 92.797
139,  0.57170, 1.77127, 93.434
140,  0.59506, 1.81314, 93.042
141,  0.57118, 1.77035, 93.419
142,  0.59708, 1.81681, 93.052
143,  0.58505, 1.79508, 93.256
144,  0.56305, 1.75602, 93.543
145,  0.55192, 1.73658, 93.736
146,  0.54802, 1.72982, 93.789
147,  0.56073, 1.75195, 93.599
148,  0.59757, 1.81770, 93.114
149,  0.54322, 1.72154, 93.881
150,  0.08066, 1.08400, 98.625
151,  0.05344, 1.05489, 99.587
152,  0.06891, 1.07134, 99.551
153,  0.08739, 1.09132, 99.432
154,  0.11722, 1.12437, 99.062
155,  0.14598, 1.15717, 98.745
156,  0.15695, 1.16994, 98.663
157,  0.18679, 1.20538, 98.330
158,  0.20698, 1.22995, 98.135
159,  0.22610, 1.25371, 97.906
160,  0.24772, 1.28110, 97.651
161,  0.26727, 1.30640, 97.443
162,  0.28908, 1.33520, 97.216
163,  0.30226, 1.35291, 97.141
164,  0.30276, 1.35358, 97.139
165,  0.32931, 1.39001, 96.864
166,  0.35683, 1.42880, 96.463
167,  0.37666, 1.45741, 96.297
168,  0.39726, 1.48774, 95.890
169,  0.41228, 1.51026, 95.851
170,  0.39785, 1.48863, 96.031
171,  0.45041, 1.56896, 95.446
172,  0.47545, 1.60873, 94.999
173,  0.45795, 1.58083, 95.339
174,  0.50384, 1.65507, 94.691
175,  0.48707, 1.62754, 94.980
176,  0.50269, 1.65316, 94.700
177,  0.48666, 1.62687, 94.988
178,  0.51391, 1.67181, 94.466
179,  0.52080, 1.68338, 94.363
180,  0.50716, 1.66056, 94.633
181,  0.48353, 1.62180, 94.951
182,  0.46742, 1.59587, 95.195
183,  0.48223, 1.61968, 95.043
184,  0.50188, 1.65183, 94.684
185,  0.50490, 1.65682, 94.614
186,  0.48504, 1.62425, 94.904
187,  0.47965, 1.61550, 95.044
188,  0.47908, 1.61459, 95.003
189,  0.49601, 1.64216, 94.799
190,  0.45738, 1.57992, 95.294
191,  0.45933, 1.58302, 95.337
192,  0.48942, 1.63137, 94.809
193,  0.47221, 1.60354, 95.156
194,  0.47288, 1.60461, 95.074
195,  0.46738, 1.59580, 95.195
196,  0.46888, 1.59820, 95.089
197,  0.47156, 1.60250, 95.077
198,  0.45235, 1.57200, 95.336
199,  0.44849, 1.56595, 95.431
