epoch,loss,ppl,accuracy
0,  5.35860, 212.42657, 18.478
1,  4.29009, 72.97326, 29.452
2,  3.80391, 44.87637, 34.858
3,  3.37660, 29.27120, 38.709
4,  3.02865, 20.66935, 41.796
5,  2.70660, 14.97829, 45.330
6,  2.45350, 11.62900, 48.695
7,  2.23973, 9.39077, 52.060
8,  1.99026, 7.31742, 56.448
9,  1.80615, 6.08699, 60.265
10,  1.64277, 5.16946, 63.796
11,  1.50583, 4.50790, 67.117
12,  1.38477, 3.99390, 70.136
13,  1.28492, 3.61437, 72.596
14,  1.14355, 3.13789, 76.231
15,  1.05556, 2.87359, 78.564
16,  0.98641, 2.68160, 80.529
17,  0.90607, 2.47458, 82.746
18,  0.84948, 2.33842, 84.352
19,  0.78619, 2.19502, 85.853
20,  0.78181, 2.18542, 86.399
21,  0.70857, 2.03109, 88.094
22,  0.69317, 2.00004, 88.554
23,  0.64364, 1.90339, 89.531
24,  0.64142, 1.89918, 89.863
25,  0.61474, 1.84917, 90.348
26,  0.62925, 1.87621, 90.108
27,  0.62119, 1.86115, 90.219
28,  0.57330, 1.77412, 91.208
29,  0.54901, 1.73154, 91.721
30,  0.54011, 1.71619, 91.789
31,  0.54383, 1.72258, 91.754
32,  0.52247, 1.68619, 92.117
33,  0.51109, 1.66710, 92.233
34,  0.49108, 1.63408, 92.691
35,  0.48165, 1.61874, 92.837
36,  0.48725, 1.62783, 92.699
37,  0.47889, 1.61428, 92.794
38,  0.48714, 1.62765, 92.767
39,  0.46543, 1.59270, 93.079
40,  0.45611, 1.57793, 93.159
41,  0.42681, 1.53235, 93.655
42,  0.44985, 1.56808, 93.284
43,  0.43474, 1.54457, 93.496
44,  0.44587, 1.56185, 93.374
45,  0.42351, 1.52731, 93.723
46,  0.42374, 1.52766, 93.623
47,  0.41875, 1.52006, 93.823
48,  0.38098, 1.46372, 94.386
49,  0.39707, 1.48746, 94.124
50,  0.12848, 1.13709, 97.421
51,  0.12080, 1.12840, 97.907
52,  0.12673, 1.13512, 97.964
53,  0.13699, 1.14681, 97.944
54,  0.12871, 1.13736, 98.158
55,  0.14362, 1.15444, 97.980
56,  0.15053, 1.16245, 97.995
57,  0.16047, 1.17406, 97.860
58,  0.17292, 1.18877, 97.757
59,  0.18004, 1.19727, 97.666
60,  0.19191, 1.21156, 97.549
61,  0.20507, 1.22761, 97.413
62,  0.21136, 1.23536, 97.315
63,  0.20926, 1.23277, 97.361
64,  0.21531, 1.24025, 97.278
65,  0.23824, 1.26901, 97.054
66,  0.24956, 1.28346, 96.851
67,  0.24273, 1.27473, 96.904
68,  0.26447, 1.30274, 96.616
69,  0.26306, 1.30090, 96.707
70,  0.27999, 1.32312, 96.444
71,  0.27741, 1.31971, 96.538
72,  0.30492, 1.35651, 96.012
73,  0.30053, 1.35058, 96.154
74,  0.31412, 1.36906, 95.961
75,  0.31722, 1.37331, 95.996
76,  0.32143, 1.37910, 95.765
77,  0.31721, 1.37329, 95.851
78,  0.31604, 1.37169, 95.851
79,  0.29925, 1.34885, 96.153
80,  0.33805, 1.40221, 95.546
81,  0.31069, 1.36436, 95.895
82,  0.30742, 1.35991, 95.919
83,  0.30637, 1.35849, 95.963
84,  0.31137, 1.36530, 95.846
85,  0.29997, 1.34982, 96.021
86,  0.31546, 1.37089, 95.738
87,  0.33036, 1.39147, 95.578
88,  0.28796, 1.33370, 96.141
89,  0.30545, 1.35723, 95.907
90,  0.32181, 1.37963, 95.707
91,  0.27817, 1.32071, 96.324
92,  0.30474, 1.35627, 95.905
93,  0.30389, 1.35512, 95.946
94,  0.28495, 1.32970, 96.210
95,  0.30919, 1.36232, 95.816
96,  0.28256, 1.32653, 96.245
97,  0.29673, 1.34546, 96.006
98,  0.28384, 1.32821, 96.303
99,  0.30736, 1.35983, 95.774
100,  0.06296, 1.06498, 98.819
101,  0.05360, 1.05506, 99.206
102,  0.06684, 1.06912, 99.050
103,  0.07149, 1.07411, 99.052
104,  0.08501, 1.08873, 98.935
105,  0.08958, 1.09372, 98.935
106,  0.09903, 1.10410, 98.863
107,  0.10804, 1.11409, 98.765
108,  0.12575, 1.13400, 98.548
109,  0.12289, 1.13076, 98.609
110,  0.14656, 1.15784, 98.304
111,  0.15660, 1.16953, 98.238
112,  0.15901, 1.17235, 98.204
113,  0.15657, 1.16949, 98.230
114,  0.15433, 1.16688, 98.245
115,  0.18696, 1.20558, 97.807
116,  0.17751, 1.19424, 97.928
117,  0.19599, 1.21652, 97.739
118,  0.21794, 1.24351, 97.527
119,  0.20181, 1.22361, 97.712
120,  0.22965, 1.25816, 97.318
121,  0.23376, 1.26335, 97.291
122,  0.24628, 1.27926, 97.158
123,  0.24334, 1.27550, 97.124
124,  0.25791, 1.29423, 96.937
125,  0.26240, 1.30005, 96.906
126,  0.26786, 1.30717, 96.829
127,  0.25558, 1.29121, 96.889
128,  0.26419, 1.30238, 96.759
129,  0.24951, 1.28340, 96.973
130,  0.27245, 1.31318, 96.662
131,  0.25804, 1.29439, 96.847
132,  0.23886, 1.26980, 97.044
133,  0.25627, 1.29211, 96.809
134,  0.25300, 1.28788, 96.932
135,  0.25711, 1.29319, 96.867
136,  0.24900, 1.28274, 96.878
137,  0.26344, 1.30140, 96.685
138,  0.23788, 1.26856, 97.104
139,  0.26140, 1.29875, 96.740
140,  0.25735, 1.29350, 96.847
141,  0.25608, 1.29186, 96.801
142,  0.24765, 1.28101, 96.968
143,  0.25253, 1.28727, 96.831
144,  0.25123, 1.28560, 96.879
