epoch,loss,ppl,accuracy
0,  4.94154, 139.98535, 20.682
1,  4.10728, 60.78095, 32.407
2,  3.74066, 42.12567, 35.902
3,  3.44192, 31.24674, 38.421
4,  3.17690, 23.97228, 41.009
5,  2.97456, 19.58103, 42.771
6,  2.79879, 16.42474, 44.797
7,  2.62189, 13.76171, 47.466
8,  2.45374, 11.63180, 50.276
9,  2.37808, 10.78417, 51.412
10,  2.26966, 9.67615, 53.434
11,  2.19002, 8.93543, 54.790
12,  2.13403, 8.44887, 55.925
13,  2.02818, 7.60026, 58.363
14,  1.96255, 7.11749, 59.596
15,  1.92383, 6.84713, 60.549
16,  1.87925, 6.54861, 61.619
17,  1.83475, 6.26354, 62.686
18,  1.78057, 5.93321, 63.763
19,  1.73530, 5.67063, 64.750
20,  1.68448, 5.38962, 66.048
21,  1.69572, 5.45055, 65.858
22,  1.64201, 5.16555, 67.105
23,  1.63563, 5.13271, 67.234
24,  1.59750, 4.94067, 68.076
25,  1.59271, 4.91704, 68.446
26,  1.52178, 4.58037, 69.874
27,  1.46934, 4.34637, 70.960
28,  1.44760, 4.25289, 71.489
29,  1.40224, 4.06428, 72.350
30,  1.39225, 4.02388, 72.584
31,  1.35287, 3.86851, 73.576
32,  1.29475, 3.65010, 74.720
33,  1.29518, 3.65165, 74.783
34,  1.26786, 3.55325, 75.393
35,  1.23499, 3.43835, 76.157
36,  1.19316, 3.29747, 76.917
37,  1.19167, 3.29256, 77.085
38,  1.15414, 3.17130, 77.802
39,  1.13449, 3.10959, 78.403
40,  1.12016, 3.06533, 78.810
41,  1.08462, 2.95832, 79.535
42,  1.06061, 2.88814, 80.224
43,  1.04236, 2.83589, 80.463
44,  1.01505, 2.75949, 81.187
45,  0.99698, 2.71009, 81.580
46,  0.93469, 2.54642, 82.955
47,  0.95674, 2.60321, 82.361
48,  0.95305, 2.59361, 82.633
49,  0.93618, 2.55023, 82.911
50,  0.37854, 1.46015, 91.641
51,  0.26278, 1.30055, 95.243
52,  0.22804, 1.25614, 96.314
53,  0.24697, 1.28014, 96.292
54,  0.26010, 1.29705, 96.072
55,  0.31300, 1.36752, 95.209
56,  0.36171, 1.43578, 94.298
57,  0.43222, 1.54067, 92.993
58,  0.49648, 1.64292, 91.765
59,  0.50502, 1.65701, 91.629
60,  0.52516, 1.69073, 91.321
61,  0.52164, 1.68479, 91.725
62,  0.49912, 1.64727, 92.271
63,  0.55965, 1.75005, 91.143
64,  0.52580, 1.69180, 91.859
65,  0.58377, 1.79278, 90.753
66,  0.56661, 1.76228, 91.355
67,  0.58491, 1.79483, 91.036
